player,pass_att,pass_cmp,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fumble_lost,fpts,team,position,rec_att,rec_yds,rec_td
Stefon Diggs,,,,,,0.0,-1.0,0.0,0.8,157.0,BUF,WR,89.0,"1,186.0",7.2
Davante Adams,,,,,,0.0,0.0,0.0,0.8,163.0,LV,WR,80.1,"1,092.7",6.2
A.J. Brown,,,,,,0.0,0.0,0.0,1.0,153.8,PHI,WR,69.3,"1,085.6",6.7
Amon-Ra St. Brown,,,,,,4.6,26.6,0.0,0.6,137.0,DET,WR,95.2,"1,046.2",4.2
Jaylen Waddle,,,,,,0.0,0.0,0.0,1.0,135.0,MIA,WR,67.0,"1,081.0",5.0
Garrett Wilson,,,,,,0.0,0.0,0.0,1.2,149.0,NYJ,WR,79.9,"1,054.0",2.1
Deebo Samuel,,,,,,37.7,209.7,1.5,2.0,131.0,SF,WR,60.8,819.0,1.3
Chris Olave,,,,,,0.0,0.0,0.0,2.2,123.0,NO,WR,76.0,"1,115.0",4.0
Tee Higgins,,,,,,0.0,0.0,0.0,0.6,128.0,CIN,WR,71.0,"1,011.0",6.0
Christian Watson,,,,,,7.0,53.9,0.0,0.8,141.4,GB,WR,59.0,880.0,3.0
Amari Cooper,,,,,,0.0,0.0,0.0,0.5,128.0,CLE,WR,65.0,947.0,6.3
DK Metcalf,,,,,,0.0,0.0,0.0,1.3,117.0,SEA,WR,71.0,904.0,6.0
DeVonta Smith,,,,,,0.0,0.0,0.0,1.0,127.0,PHI,WR,76.0,965.0,5.7
Calvin Ridley,,,,,,0.0,0.0,0.0,1.0,127.0,JAC,WR,73.6,917.9,5.5
DJ Moore,,,,,,0.0,0.0,0.0,0.6,128.0,CHI,WR,54.9,870.0,3.2
Mike Evans,,,,,,0.0,0.0,0.0,0.5,113.0,TB,WR,64.0,885.0,5.0
Mike Williams,,,,,,0.0,0.0,0.0,0.4,110.0,LAC,WR,60.0,873.0,3.9
Keenan Allen,,,,,,0.0,0.0,0.0,1.0,114.0,LAC,WR,84.7,924.0,4.9
Terry McLaurin,,,,,,0.0,0.0,0.0,0.6,111.0,WAS,WR,63.0,945.0,3.6
DeAndre Hopkins,,,,,,0.0,0.0,0.0,1.1,119.5,TEN,WR,74.0,935.0,3.9
Christian Kirk,,,,,,0.0,0.0,0.0,1.0,116.0,JAC,WR,67.0,826.5,4.2
Tyler Lockett,,,,,,0.0,0.0,0.0,1.0,109.0,SEA,WR,67.0,848.0,5.0
Brandon Aiyuk,,,,,,0.0,0.0,0.0,1.0,107.0,SF,WR,58.0,802.0,4.7
Jerry Jeudy,,,,,,0.0,0.0,0.0,0.6,107.2,DEN,WR,57.0,832.0,2.5
Drake London,,,,,,0.0,0.0,0.0,3.4,116.0,ATL,WR,74.5,890.4,4.8
Chris Godwin,,,,,,0.0,0.0,0.0,1.0,97.0,TB,WR,84.0,890.0,2.8
Jahan Dotson,,,,,,0.0,-7.0,0.0,0.7,110.6,WAS,WR,53.0,731.9,4.3
Gabe Davis,,,,,,0.0,0.0,0.0,1.0,106.0,BUF,WR,42.0,745.0,6.0
Marquise Brown,,,,,,0.0,0.0,0.0,0.7,108.0,ARI,WR,66.7,803.7,4.0
George Pickens,,,,,,0.0,0.0,0.0,0.6,113.3,PIT,WR,46.2,814.7,2.8
Diontae Johnson,,,,,,0.0,0.0,0.0,1.2,94.0,PIT,WR,72.5,834.0,3.0
Michael Pittman Jr.,,,,,,0.0,0.0,0.0,1.0,78.0,IND,WR,67.0,688.0,2.6
Brandin Cooks,,,,,,0.0,0.0,0.0,0.4,100.0,DAL,WR,40.2,617.8,2.9
Jordan Addison,,,,,,0.0,0.0,0.0,2.0,109.0,MIN,WR,56.7,713.1,4.5
Treylon Burks,,,,,,5.0,26.2,0.0,0.8,86.0,TEN,WR,50.0,636.1,2.0
Courtland Sutton,,,,,,0.0,0.0,0.0,0.4,85.0,DEN,WR,56.0,753.6,1.8
Zay Fers,,,,,,0.0,0.0,0.0,2.0,98.8,BAL,WR,48.9,679.9,3.9
